band_size,coverage,npv,subscribers_routed,leakage_rate,threshold,feasible,binding
10023,0.30418816388467373,0.9628853636635738,372,0.10021551724137931,0.2865562288685737,True,
10053,0.30509863429438544,0.9626977021784542,375,0.10102370689655173,0.2866358623118158,True,
10069,0.30558421851289835,0.9625583474029199,377,0.1015625,0.2866699548293436,True,
10076,0.3057966616084977,0.962485113140135,378,0.10183189655172414,0.28695335030456365,True,
10086,0.30610015174506827,0.962423160816974,379,0.10210129310344827,0.2869888431448491,True,
10089,0.30619119878603945,0.9624343344236297,379,0.10210129310344827,0.28707627779074824,True,
10218,0.3101062215477997,0.962517126639264,383,0.10317887931034483,0.28718608941225354,True,
10237,0.31068285280728375,0.9622936407150532,386,0.10398706896551724,0.28720831281929743,True,
10241,0.310804248861912,0.9623083683234059,386,0.10398706896551724,0.2872377158847436,True,
10274,0.3118057663125948,0.9622347673739536,388,0.10452586206896551,0.28746877073116656,True,
10281,0.31201820940819425,0.9621632136951659,389,0.10479525862068965,0.28757938596766747,True,
10282,0.3120485584218513,0.9621668936004668,389,0.10479525862068965,0.2876729863154941,True,
10296,0.3124734446130501,0.962024087024087,391,0.10533405172413793,0.287707984005417,True,
10339,0.3137784522003035,0.9617951445981237,395,0.10641163793103449,0.2877113573121583,True,
10340,0.31380880121396054,0.9617988394584139,395,0.10641163793103449,0.2877308256620793,True,
10346,0.3139908952959029,0.9618209936207229,395,0.10641163793103449,0.2877763467410156,True,
10348,0.31405159332321697,0.9618283726323927,395,0.10641163793103449,0.2877966964370309,True,
10350,0.3141122913505311,0.9618357487922705,395,0.10641163793103449,0.2879012489639319,True,
10354,0.31423368740515933,0.9618504925632606,395,0.10641163793103449,0.2881113628525162,True,
10360,0.31441578148710164,0.9618725868725869,395,0.10641163793103449,0.28835675271193634,True,
10366,0.314597875569044,0.9617981863785452,396,0.10668103448275862,0.2884850565437957,True,
10401,0.31566009104704096,0.9618305932121911,397,0.10695043103448276,0.288538135535401,True,
10404,0.31575113808801214,0.9617454825067282,398,0.10721982758620689,0.2886505206364737,True,
10440,0.31684370257966615,0.9613984674329502,403,0.10856681034482758,0.2886602453121038,True,
10444,0.3169650986342944,0.9614132516277288,403,0.10856681034482758,0.2886916621432124,True,
10458,0.3173899848254932,0.9614649072480398,403,0.10856681034482758,0.28873710701611893,True,
