band_size,coverage,npv,subscribers_routed,leakage_rate,threshold,feasible,binding
20869,0.6333535660091048,0.953088312808472,979,0.26373922413793105,0.3677459708180474,False,"npv,leak_rate,leak_abs"
20909,0.634567526555387,0.9530824047061074,981,0.26427801724137934,0.36804135661273285,False,"npv,leak_rate,leak_abs"
21016,0.637814871016692,0.9529881994670727,988,0.2661637931034483,0.3680540250523049,False,"npv,leak_rate,leak_abs"
21033,0.6383308042488619,0.9529786525935435,989,0.26643318965517243,0.36813419483038284,False,"npv,leak_rate,leak_abs"
21084,0.6398786039453718,0.9529501043445266,992,0.2672413793103448,0.36820571555473575,False,"npv,leak_rate,leak_abs"
21100,0.6403641881638846,0.9527962085308057,996,0.2683189655172414,0.3682520946006655,False,"npv,leak_rate,leak_abs"
21104,0.6404855842185129,0.9528051554207733,996,0.2683189655172414,0.36842674770899225,False,"npv,leak_rate,leak_abs"
21107,0.640576631259484,0.9528118633628654,996,0.2683189655172414,0.3689840016944202,False,"npv,leak_rate,leak_abs"
21144,0.6416995447647952,0.9528471433976542,997,0.2685883620689655,0.36909998743415123,False,"npv,leak_rate,leak_abs"
21152,0.6419423368740516,0.9528177004538578,998,0.26885775862068967,0.36912302434090705,False,"npv,leak_rate,leak_abs"
21154,0.6420030349013657,0.9528221612933724,998,0.26885775862068967,0.36914824261330503,False,"npv,leak_rate,leak_abs"
21157,0.6420940819423369,0.9528288509713098,998,0.26885775862068967,0.36991366145652466,False,"npv,leak_rate,leak_abs"
21191,0.6431259484066768,0.9528101552545892,1000,0.26939655172413796,0.37027901534950713,False,"npv,leak_rate,leak_abs"
21214,0.6438239757207891,0.9527199019515414,1003,0.27020474137931033,0.37037321359758435,False,"npv,leak_rate,leak_abs"
21222,0.6440667678300456,0.9527377250023561,1003,0.27020474137931033,0.3708859821193399,False,"npv,leak_rate,leak_abs"
21291,0.6461608497723824,0.9528908928655301,1003,0.27020474137931033,0.37097506817284076,False,"npv,leak_rate,leak_abs"
21364,0.6483763277693475,0.9529582475191911,1005,0.2707435344827586,0.371025076546208,False,"npv,leak_rate,leak_abs"
21373,0.648649468892261,0.9529780564263323,1005,0.2707435344827586,0.3710680324092704,False,"npv,leak_rate,leak_abs"
21501,0.6525341426403641,0.9527928933537975,1015,0.2734375,0.37158007708311935,False,"npv,leak_rate,leak_abs"
21506,0.6526858877086494,0.9528038686878081,1015,0.2734375,0.3715983199948702,False,"npv,leak_rate,leak_abs"
21536,0.6535963581183611,0.9527767459138187,1017,0.2739762931034483,0.3718324526345033,False,"npv,leak_rate,leak_abs"
21574,0.6547496206373293,0.952767219801613,1019,0.2745150862068966,0.37211055738918963,False,"npv,leak_rate,leak_abs"
21706,0.6587556904400607,0.9525937528793882,1029,0.27720905172413796,0.3724485298186695,False,"npv,leak_rate,leak_abs"
21721,0.6592109256449166,0.9525344137010266,1031,0.2777478448275862,0.3726997496366665,False,"npv,leak_rate,leak_abs"
21838,0.6627617602427921,0.9523765912629362,1040,0.2801724137931034,0.3728728345823396,False,"npv,leak_rate,leak_abs"
21884,0.6641578148710167,0.9522939133613599,1044,0.28125,0.37315669244796296,False,"npv,leak_rate,leak_abs"
22008,0.6679210925644916,0.9520174482006543,1056,0.28448275862068967,0.373371993554004,False,"npv,leak_rate,leak_abs"
22051,0.6692261001517451,0.9519749671216725,1059,0.28529094827586204,0.3735262853029821,False,"npv,leak_rate,leak_abs"
22076,0.6699848254931715,0.9519840550824424,1060,0.2855603448275862,0.3735433527300353,False,"npv,leak_rate,leak_abs"
22081,0.6701365705614567,0.9519949277659526,1060,0.2855603448275862,0.3735591205356606,False,"npv,leak_rate,leak_abs"
22089,0.6703793626707132,0.9520123138213591,1060,0.2855603448275862,0.37391856524577977,False,"npv,leak_rate,leak_abs"
22096,0.6705918057663126,0.9519822592324403,1061,0.28582974137931033,0.3743813498912661,False,"npv,leak_rate,leak_abs"
22112,0.6710773899848255,0.9519717800289436,1062,0.2860991379310345,0.3745851858182147,False,"npv,leak_rate,leak_abs"
22136,0.6718057663125948,0.9520238525478858,1062,0.2860991379310345,0.3752438641740676,False,"npv,leak_rate,leak_abs"
22137,0.6718361153262519,0.9520260197858789,1062,0.2860991379310345,0.3775299607519248,False,"npv,leak_rate,leak_abs"
22249,0.6752352048558422,0.9521326801204548,1065,0.2869073275862069,0.37753369701407574,False,"npv,leak_rate,leak_abs"
22265,0.6757207890743551,0.9521221648326971,1066,0.28717672413793105,0.37837184727978884,False,"npv,leak_rate,leak_abs"
22375,0.6790591805766313,0.9521340782122905,1071,0.2885237068965517,0.37904125154946333,False,"npv,leak_rate,leak_abs"
22379,0.6791805766312595,0.9521426337191117,1071,0.2885237068965517,0.3791428441979812,False,"npv,leak_rate,leak_abs"
22503,0.6829438543247345,0.9520063991467804,1080,0.29094827586206895,0.37922241083168623,False,"npv,leak_rate,leak_abs"
22523,0.6835508345978756,0.951960218443369,1082,0.29148706896551724,0.37973714256124863,False,"npv,leak_rate,leak_abs"
22530,0.683763277693475,0.9519751442521083,1082,0.29148706896551724,0.3806635030670546,False,"npv,leak_rate,leak_abs"
22540,0.6840667678300455,0.9519964507542147,1082,0.29148706896551724,0.38158399624328443,False,"npv,leak_rate,leak_abs"
22541,0.6840971168437026,0.9519985803646688,1082,0.29148706896551724,0.3821387061915469,False,"npv,leak_rate,leak_abs"
22546,0.6842488619119879,0.9519205180519826,1084,0.2920258620689655,0.3828454937703757,False,"npv,leak_rate,leak_abs"
22550,0.6843702579666161,0.9519290465631929,1084,0.2920258620689655,0.38506231160264776,False,"npv,leak_rate,leak_abs"
22561,0.6847040971168437,0.9519524843756926,1084,0.2920258620689655,0.3851742994075774,False,"npv,leak_rate,leak_abs"
22701,0.6889529590288316,0.951940443152284,1091,0.2939116379310345,0.38637609486868857,False,"npv,leak_rate,leak_abs"
22708,0.689165402124431,0.9519552580588339,1091,0.2939116379310345,0.38640644099914784,False,"npv,leak_rate,leak_abs"
22709,0.6891957511380881,0.9519573737284777,1091,0.2939116379310345,0.38672665572883186,False,"npv,leak_rate,leak_abs"
22723,0.6896206373292868,0.9519869735510276,1091,0.2939116379310345,0.38741602912625106,False,"npv,leak_rate,leak_abs"
22724,0.6896509863429439,0.9519890864284457,1091,0.2939116379310345,0.39120308102042506,False,"npv,leak_rate,leak_abs"
22725,0.6896813353566009,0.951991199119912,1091,0.2939116379310345,0.3922176456992104,False,"npv,leak_rate,leak_abs"
22749,0.6904097116843703,0.9518220581124445,1096,0.2952586206896552,0.39234992976411787,False,"npv,leak_rate,leak_abs"
22766,0.6909256449165402,0.9518141087586752,1097,0.29552801724137934,0.3935010809360365,False,"npv,leak_rate,leak_abs"
22769,0.6910166919575114,0.9518204576397734,1097,0.29552801724137934,0.3936102555653684,False,"npv,leak_rate,leak_abs"
22832,0.692928679817906,0.9516468114926419,1104,0.2974137931034483,0.3941623250108717,False,"npv,leak_rate,leak_abs"
